parent,run_id,task,policy,n_children,n_artifact,n_silent,top1_expected,raw_regret,escalated_expected,low_wall_s,all_full_runtime_s,restart_cost_s,continuation_cost_s
denoising-dirty-documents__033f1f41cef04bd590777cae52380df8,cards_senior_0731.jsonl:13,denoising-dirty-documents,random_expected,2,0,2,0.5,0.032529999999999996,1.0,240.4,7910.258288726211,4195.529144363105,4075.529144363105
denoising-dirty-documents__033f1f41cef04bd590777cae52380df8,cards_senior_0731.jsonl:13,denoising-dirty-documents,stdout_tfidf,2,0,2,1.0,0.0,1.0,240.4,7910.258288726211,4280.189836518466,4160.189836518466
denoising-dirty-documents__033f1f41cef04bd590777cae52380df8,cards_senior_0731.jsonl:13,denoising-dirty-documents,top1_scalar_run_oof,2,0,2,0.0,0.06505999999999999,1.0,240.4,7910.258288726211,4110.868452207744,3990.868452207744
denoising-dirty-documents__033f1f41cef04bd590777cae52380df8,cards_senior_0731.jsonl:13,denoising-dirty-documents,top1_text_run_oof,2,0,2,1.0,0.0,1.0,240.4,7910.258288726211,4280.189836518466,4160.189836518466
denoising-dirty-documents__033f1f41cef04bd590777cae52380df8,cards_senior_0731.jsonl:13,denoising-dirty-documents,top1_combined_run_oof,2,0,2,1.0,0.0,1.0,240.4,7910.258288726211,4280.189836518466,4160.189836518466
denoising-dirty-documents__033f1f41cef04bd590777cae52380df8,cards_senior_0731.jsonl:13,denoising-dirty-documents,top1_scalar_loto,2,0,2,1.0,0.0,1.0,240.4,7910.258288726211,4280.189836518466,4160.189836518466
denoising-dirty-documents__033f1f41cef04bd590777cae52380df8,cards_senior_0731.jsonl:13,denoising-dirty-documents,top1_text_loto,2,0,2,0.0,0.06505999999999999,1.0,240.4,7910.258288726211,4110.868452207744,3990.868452207744
denoising-dirty-documents__033f1f41cef04bd590777cae52380df8,cards_senior_0731.jsonl:13,denoising-dirty-documents,top1_combined_loto,2,0,2,1.0,0.0,1.0,240.4,7910.258288726211,4280.189836518466,4160.189836518466
denoising-dirty-documents__033f1f41cef04bd590777cae52380df8,cards_senior_0731.jsonl:13,denoising-dirty-documents,oracle_top1,2,0,2,1.0,0.0,1.0,240.4,7910.258288726211,4280.189836518466,4160.189836518466
denoising-dirty-documents__033f1f41cef04bd590777cae52380df8,cards_senior_0731.jsonl:13,denoising-dirty-documents,all_escalate,2,0,2,1.0,0.0,2.0,240.4,7910.258288726211,8150.65828872621,7910.65828872621
denoising-dirty-documents__033f1f41cef04bd590777cae52380df8,cards_senior_0731.jsonl:13,denoising-dirty-documents,full_external,2,0,2,1.0,0.0,2.0,240.4,7910.258288726211,7910.258288726211,7910.258288726211
denoising-dirty-documents__4cb4122fb9814bf884cdafecf62298e9,cards_senior_0804.jsonl:23,denoising-dirty-documents,random_expected,2,0,2,0.5,0.08098999999999999,1.0,240.3,5440.142480649054,2960.371240324527,2840.371240324527
denoising-dirty-documents__4cb4122fb9814bf884cdafecf62298e9,cards_senior_0804.jsonl:23,denoising-dirty-documents,stdout_tfidf,2,0,2,1.0,0.0,1.0,240.3,5440.142480649054,4557.372162240744,4437.372162240744
denoising-dirty-documents__4cb4122fb9814bf884cdafecf62298e9,cards_senior_0804.jsonl:23,denoising-dirty-documents,top1_scalar_run_oof,2,0,2,0.0,0.16197999999999999,1.0,240.3,5440.142480649054,1363.3703184083104,1243.3703184083104
