split,subset,task,pair_unweighted_accuracy,pair_gap_weighted_accuracy,component_gain_capture,component_top1_accuracy,component_normalized_regret
test,Improve,mlsp-2013-birds,0.5714285714285714,0.5799123828536571,0.2324679913560854,0.5121951219512195,0.7675320086439147
test,Improve,new-york-city-taxi-fare-prediction,0.7142857142857143,0.7817002408917033,0.8697927878741598,0.5454545454545454,0.1302072121258402
test,Improve,nomad2018-predict-transparent-conductors,0.4090909090909091,0.023486981649409867,-3.401488073528339,0.16666666666666666,4.4014880735283395
test,Improve,petfinder-pawpularity-score,0.5,0.8055475718629994,0.5874408674308115,0.4090909090909091,0.4125591325691885
test,Improve,random-acts-of-pizza,0.375,0.31044206399697377,-0.3791158720060514,0.375,1.3791158720060515
test,Improve,ranzcr-clip-catheter-line-classification,0.7142857142857143,0.8535291371333983,0.7070582742667966,0.7142857142857143,0.2929417257332035
test,Improve,spooky-author-identification,0.5757575757575758,0.7103002003069637,0.4144602857154309,0.48148148148148145,0.5855397142845691
test,Improve,tabular-playground-series-dec-2021,0.6,0.11576461268767818,-1.2331135985975952,0.625,2.2331135985975954
test,Improve,tabular-playground-series-may-2022,0.4,0.4167134099262887,-0.3619921667348969,0.0,1.3619921667348969
test,Improve,text-normalization-challenge-english-language,0.6363636363636364,0.2952072808461524,-0.40958543830769567,0.6363636363636364,1.4095854383076956
test,Improve,text-normalization-challenge-russian-language,0.5833333333333334,0.7154414548309757,0.430882909661951,0.5833333333333334,0.5691170903380491
test,Improve,tgs-salt-identification-challenge,0.7777777777777778,0.9052029419776627,0.8104058839553255,0.7777777777777778,0.1895941160446744
test,Improve,us-patent-phrase-to-phrase-matching,0.7586206896551724,0.910651528337862,0.8213030566757238,0.7586206896551724,0.17869694332427616
test,Improve,ventilator-pressure-prediction,0.55,0.973718728538141,0.9474374570762822,0.55,0.05256254292371777
test,Improve,whale-categorization-playground,0.6666666666666666,0.6917913362893114,0.3835826725786223,0.6666666666666666,0.6164173274213777
